Table_ID,Named_Range,Category,Risk_Category_Segment1,Coverages_Segment2,Row_Count,Sheet_Name
1,Driver_Age_Risk_Factor_BI_PD,Driver,Driver Age | BI/PD Points,BI | PD,36,Driver Age Point Factor Tbl
2,Driver_Age_Risk_Factor_Coll,Driver,Driver Age | COLL Points,COLL | RENT,36,Driver Age Point Factor Tbl
3,Driver_Age_Risk_Factor_Comp,Driver,Driver Age | COMP Points,COMP | LOAN,36,Driver Age Point Factor Tbl
4,Driver_Age_Risk_Factor_Med,Driver,Driver Age | MED Points,MED | UM | UIM,36,Driver Age Point Factor Tbl
5,Driver_Class_Risk_Factor,Driver,"Gender | Marital Status | Driver Age | Months Since Last Birthday | Ratable Spouse","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT",960,Driver Class
6,Driver_License_Type_Risk_Factor,Driver,License Type Code | Driver Age,"BI | PD | COMP | COLL | MED | UM | UIM",30,Driver License Type Factor
7,Driver_Training_Disc_Risk_Factor,Driver,Driver Age | Driver Training Discount,"BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT",6,Driver Training Disc
8,Years_Licensed_Risk_Factor,Driver,Driver Age | Years Licensed,"BI | PD | COMP | COLL | LOAN | MED | UIM | RENT",24,Years Licensed
9,Youthful_Driver_Disc_Risk_Factor,Driver,"Driver Age | Clean Driver | Distant Student Discount | Good Student Discount | Teen Driver Discount | Driver Add Date Classification","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT",176,Youthful Driver Factor
10,Financial_Resp_By_Clean_Risk_Factor,Driver,Financial Responsibility Tier | Clean Driver,"BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT",60,Financial Resp by Clean Fct
11,Financial_Resp_By_Num_Of_Drivers_Risk_Factor,Driver,Financial Responsibility Tier | Multiple Eligible to be Rated Drivers,"BI | PD | COMP | COLL | LOAN | MED | UM | UIM",60,Financial Resp by NumOf Drivers
12,Occupation_Education_Risk_Factor,Driver,Prior Insurance Classification | Occupation Education Rank,"BI | PD | COMP | COLL | LOAN | MED | UM | UIM",168,OccupationEd Factor Table
13,HhMemberTable\1_HH_Member_Risk_Factor,Driver,Vehicle Count | Household Member Count | Driver Age,"BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT",169,HH Member Table 1
