Named Range,Category,Segment 1 Dimensions (Lookup Keys),Segment 2 (Coverage Factors)
Driver_Age_Risk_Factor_BI_PD,Driver,"Driver Age | BI/PD Points","BI | PD"
Driver_Age_Risk_Factor_Coll,Driver,"Driver Age | COLL Points","COLL | RENT"
Driver_Age_Risk_Factor_Comp,Driver,"Driver Age | COMP Points","COMP | LOAN"
Driver_Age_Risk_Factor_Med,Driver,"Driver Age | MED Points","MED | UM | UIM"
Driver_Class_Risk_Factor,Driver,"Gender | Marital Status | Driver Age | Months Since Last Birthday | Ratable Spouse","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT"
Driver_License_Type_Risk_Factor,Driver,"License Type Code | Driver Age","BI | PD | COMP | COLL | MED | UM | UIM"
Years_Licensed_Risk_Factor,Driver,"Driver Age | Years Licensed","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT"
Youthful_Driver_Disc_Risk_Factor,Driver,"Driver Age | Clean Driver | Distant Student Discount | Good Student Discount | Teen Driver Discount | Driver Add Date Classification","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT"
Financial_Resp_By_Clean_Risk_Factor,Driver,"Financial Responsibility Tier | Clean Driver","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT"
Occupation_Education_Risk_Factor,Driver,"Prior Insurance Classification | Occupation Education Rank","BI | PD | COMP | COLL | LOAN | MED | UM | UIM"
Driving_Record_Points_Risk_Point_BI_PD,Driver Points,"BI/PD Points","BI | PD"
Driving_Record_Points_Risk_Point_Coll,Driver Points,"COLL Points","COLL | RENT"
Vehicle_Age_Risk_Factor,Vehicle,"Vehicle Risk Group Code at Initial Vehicle Evaluation | Vehicle Age at Add Date","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT"
Veh_Symbol_Risk_Factor,Vehicle,"Model Year | Make | Model | Style","BI | PD | COMP | COLL | LOAN | MED | UM | UIM"
Annual_Miles_Risk_Factor,Vehicle,"Annual Miles","BI | PD | COMP | COLL | MED | UM | UIM"
Garaging_Location_Risk_Factor,Vehicle,"Garaging ZIP Code","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT | ACPE"
Vehicle_Attributes_Rating_Risk_Factor,Vehicle,"Multi-Car | Vehicle Type Code | Convertible Indicator | Vehicle Horsepower Code","BI | PD | COMP | COLL | LOAN | MED | UM | UIM"
Luxury_Veh_Risk_Factor,Vehicle,"PNI Age | Luxury Vehicle on Policy | Vehicle Count","BI | PD | COMP | COLL | LOAN | MED | UM | UIM"
Length_Of_Veh_Ownership_Risk_Factor,Vehicle,"Vehicle Tenure | Vehicle Age at Add Date | Length of Vehicle Ownership","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT"
HH_Structure_Risk_Factor,Household,"Multi-Car | PNI Marital Status | PNI Youthful | Youthful Drivers | rated drivers | Eligible to be Rated Drivers | Rated Youthful Drivers | Rated Driver Gender","BI | PD | COMP | COLL | LOAN | MED | UM | UIM"
DiscountLevel\Diamond_Cont_Ins_Disc_Risk_Factor,Discount,"Prior Insurance Classification | Prior BI Limit Classification | Silver Continuous Insurance Discount at Current Policy Inception | Gold Continuous Insurance Discount at Current Policy Inception","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT"
Three_Year_Safe_Dr_Disc_Risk_Factor,Discount,"Three Year Safe Driving Discount Eligibility | Prior BI Level | Multi-Car","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT | ACPE"
UW_Tier_Percent_Risk_Factor,Tier,"UW Tier","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT"
FR_Tier_Risk_Factor,Tier,"Financial Responsibility Tier | Prior Insurance Classification","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT"
Base_Rates_Risk_Rate,Rate,"x","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT | ACPE | ACQ-EXP | OPS-EXP"
Monthly_Rate_Risk_Factor,Rate,"Trend Months","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT | ACPE"
Policy_Term_Risk_Factor,Rate,"Policy Term","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT | ACPE | ACQ-EXP | OPS-EXP"
Coverage_Selection_COLL_Risk_Factor,Coverage,"COLL Deductible at Initial Evaluation | COLL Deductible","BI | PD | COMP | COLL | LOAN | MED | UM | UIM | RENT | ACPE"
Limit_And_Ded_Risk_Factor_BI,Limit,"Prior Insurance Indicator | BI Limit","BI"
OpEx1_Risk_Factor,Operational,"Prior Insurance Classification | Financial Responsibility Tier","OPS-EXP"

